product_id,sku,timestamp,product_name,category,subcategory,price_omr,stock_quantity,condition,english_title,english_description,arabic_title,arabic_description,bullet_points_en,bullet_points_ar,meta_title_en,meta_description_en,meta_title_ar,meta_description_ar,attributes,image_paths,supplier_id,status
db18e828-bc56-4a1c-a6dc-4e93896a3408,ZOZI-20260708-PRODUCT-8F00,2026-07-08T02:24:36.889190,Black T-Shirt,Fashion,T-Shirts,2.5,6,new,Black T-Shirt - Stylish & Comfortable,"Explore our sleek and comfortable black t-shirt. Perfect for everyday wear, this stylish piece is a must-have in your wardrobe! ✅ Made from soft fabric ✅ Available in multiple sizes",قبعة سوداء - مريحة و Stylish,اكتشف قبعة الأسود المريحة والأسستيلة. مناسبة للفسحة اليومية، تصميم هذه القطعة الأسستيلة ضروري في خزانتك! ✅ صنعت من نسيج ناعم ✅ متاحة بأحجام مختلفة,"[""✅ Made from soft fabric"", ""✅ Available in multiple sizes""]","[""✅ صنعت من نسيج ناعم"", ""✅ متاحة بأحجام مختلفة""]",Black T-Shirt - Stylish & Comfortable | OMR 2.5,Discover our sleek black t-shirt for everyday wear. Shop now and get it at only 2.5 OMR!,قبعة سوداء - مريحة و Stylish | OMR 2.5,اكتشف قبعة الأسود المريحة والأسستيلة للفسحة اليومية. شراء الآن والحصول عليها بـ 2.5 OMR!,"{""brand"": """", ""color"": ""black"", ""model"": """"}",D:\Projects\10- E-COMMERCE WEBSITE\zozi\Working_API\zozi_ai_image_service\image\image_25.jpg,SP_))1,draft
701cf6f7-da90-418b-aac5-72daf98d5d04,ZOZI-20260708-PRODUCT-48AE,2026-07-08T02:31:45.210173,,Electronics,Watches,7.5,20,new,Green & Black Eco-Friendly Phone Charger,"Boost your smartphone's battery with our eco-friendly Green & Black Phone Charger.
✅ Brand: ReliableTech
✅ Color Options: Green, Black",حوكمة ذكية ملونة بالأخضر والأسود,"احسن من مستوي بطاري هاتفك الذكي مع حوكمة ذكية ملونة بالأخضر والأسود.
✅ العلامة التجارية: شركة ريلiableTech
✅ خيارات الألوان: أخضر، أسود","[""✅ Brand: ReliableTech"", ""✅ Color Options: Green, Black""]","[""✅ العلامة التجارية: شركة ريلiableTech"", ""✅ خيارات الألوان: أخضر، أسود""]",Eco-Friendly Phone Charger - Green & Black,Discover the eco-friendly phone charger with green and black options from ReliableTech now!,حوكمة ذكية ملونة بالأخضر والأسود,اكتشف الحوكمة الذكية الملونة بالأخضر والأسود من شركة ريلiableTech الآن!,"{""brand"": """", ""color"": ""green, black"", ""model"": """"}",D:\Projects\10- E-COMMERCE WEBSITE\zozi\Working_API\zozi_ai_image_service\image\image_04.jpg,SP_001,draft
43685a2b-0250-4e21-894f-62e8cea86beb,ZOZI-20260708-PRODUCT-DE23,2026-07-08T02:36:35.718251,,Home,Refrigerators,150.0,25,new, - Home | ZOZI Oman,"High quality  available now at ZOZI Oman. brand: , color: silver, model: . Order today with fast delivery across Oman.", - Home | زوزي عمان," عالي الجودة متوفر الآن في زوزي عمان. brand: , color: silver, model: . اطلب اليوم مع توصيل سريع لجميع أنحاء عمان.","[""✅ Brand: "", ""✅ Color: silver"", ""✅ Model: ""]","[""✅ brand: "", ""✅ color: silver"", ""✅ model: ""]", - Buy Online in Oman | ZOZI,"Shop  at best price in Oman. brand: , color: silver, model: . Fast delivery available.", - اشتري أونلاين في عمان | زوزي,"اشتري  بأفضل سعر في عمان. brand: , color: silver, model: . توصيل سريع.","{""brand"": """", ""color"": ""silver"", ""model"": """"}",D:\Projects\10- E-COMMERCE WEBSITE\zozi\Working_API\zozi_ai_image_service\image\image_20.jpg,SP_001,draft
fe07535c-deed-40fb-888d-4b2c5012ba33,ZOZI-20260708-PRODUCT-D827,2026-07-08T02:58:49.153752,Watch,Fashion,Wristwatch,8.0,53,new,Unisex Fashion Watch,"Elevate your style with our unisex fashion watch. ✅ Offers a sleek design in green, black, and blue. ✅ Made from durable rubber and plastic for long-lasting comfort. Available in sizes S, M, L.",ساعة رياضية غير مراعية الجنس للرجال والنساء,"ابحث عن توقيتك بأسلوب مع هذه الساعة الرياضية غير المراعية الجنس. ✅ تتميز بأناقة تصميمها باللون الأخضر والأزرق والأسود. ✅ صُنعت من قماش الكرومthane و 플라스틱 لضمان الأمان والاستدامة. متاحة في الحجم S, M, L.","[""✅ Sleek design in green, black, and blue"", ""✅ Made from durable rubber and plastic""]","[""✅ تصميم حديث باللون الأخضر والأزرق والأسود"", ""✅ صُنعت من قماش الكرومthane و 플라스틱 لضمان الأمان والاستدامة""]",Unisex Fashion Watch - 8.0 OMR | Style with Durable Design,"Discover the perfect unisex fashion watch for your style. Shop now at only 8.0 OMR and experience a sleek design in green, black, or blue.",ساعة رياضية غير مراعية الجنس - 8.0 OMR | أسلوب مع التصميم المتين,اكتشف الساعة الرياضية غير المراعية الجنس المثالية لأسلوبك. شراء الآن بسعر 8.0 OMR واستمتع بأناقة تصميمها باللون الأخضر أو الأزرق أو الأسود.,"{""brand"": """", ""color"": ""Green, Black"", ""model"": """", ""colors"": [""Blue"", ""Green"", ""Black""], ""sizes"": [""S"", ""M"", ""L""], ""gender"": ""Unisex"", ""material"": ""Rubber & Plastic"", ""variant_stock"": {""Blue-S"": 10, ""Blue-M"": 5, ""Blue-L"": 5, ""Green-S"": 8, ""Green-M"": 7, ""Green-L"": 5, ""Black-S"": 4, ""Black-M"": 6, ""Black-L"": 3}}",D:\Projects\10- E-COMMERCE WEBSITE\zozi\Working_API\zozi_ai_image_service\image\image_04.jpg,SP_001,draft
4f8b5689-627b-4ad1-8c32-569312672638,ZOZI-20260708-P-3793,2026-07-08T03:06:45.265334,iPhone,Electronics,Smartphones,78.0,5,new,"Apple iPhone 13 Pro Max - Light Blue, 256GB Storage","✅ Brand: Apple
✅ Model: iPhone 13 Pro Max
✅ Color: Sky-Blue (Light Blue)
✅ Storage: 256GB
✅ Colors Available: Sky-Blue, White, Black",آيفون 13 برو ماكس من آبل - أزرق خفيف، ذاكرة 256 جيجابايت,"✅ العلامة التجارية: آبل
✅ النموذج: آيفون 13 برو ماكس
✅ اللون: أزرق خفيف (أزرق)
✅ الذاكرة: 256 جيجابايت
✅ الألوان المتاحة: أزرق خفيف، أبيض، أسود","[""✅ Brand: Apple"", ""✅ Model: iPhone 13 Pro Max"", ""✅ Color: Sky-Blue (Light Blue)"", ""✅ Storage: 256GB"", ""✅ Colors Available: Sky-Blue, White, Black""]","[""✅ العلامة التجارية: آبل"", ""✅ النموذج: آيفون 13 برو ماكس"", ""✅ اللون: أزرق خفيف (أزرق)"", ""✅ الذاكرة: 256 جيجابايت"", ""✅ الألوان المتاحة: أزرق خفيف، أبيض، أسود""]","Apple iPhone 13 Pro Max - Light Blue, 256GB Storage for Sale",Discover the perfect light blue Apple iPhone 13 Pro Max with 256GB storage. Shop now at [Your Store Name] and enjoy seamless performance and advanced features.,آيفون 13 برو ماكس من آبل - أزرق خفيف، ذاكرة 256 جيجابايت للبيع,اكتشف الآيفون 13 برو ماكس الأزرق الخفيف بذاكرة 256 جيجابايت. شراء الآن في [اسم متجرك] واستمتع بالدقة والخصائص المتقدمة.,"{""brand"": ""Apple"", ""color"": ""light blue"", ""model"": [""13 Pro Max""], ""colors"": [""Sky-Blue"", ""White"", ""Black""], ""storage"": [""256GB""], ""variant_stock"": {""256GB - 13 Pro Max"": 5}}",D:\Projects\10- E-COMMERCE WEBSITE\zozi\Working_API\zozi_ai_image_service\image\image_06.jpg,SP_001,draft
491b6d4b-5893-4791-a373-000118bdb886,ZOZI-20260708-P-DC1B,2026-07-08T03:31:58.761519,Silver Necklace with Initial Pendant,Fashion,Jewelry,24.55,10,new,Silver Necklace with Initial Pendant - Fashion | ZOZI,High quality Silver Necklace with Initial Pendant at ZOZI.,Silver Necklace with Initial Pendant - Fashion | زوزي,Silver Necklace with Initial Pendant عالي الجودة في زوزي.,"[""✅ High Quality"", ""✅ Fast Delivery""]","[""✅ جودة عالية"", ""✅ توصيل سريع""]",Silver Necklace with Initial Pendant | ZOZI,Buy Silver Necklace with Initial Pendant online.,Silver Necklace with Initial Pendant | زوزي,اشتري Silver Necklace with Initial Pendant أونلاين.,"{""brand"": """", ""color"": ""silver"", ""model"": """", ""material"": [""Silver""], ""strap_type"": [""Metal""], ""variant_stock"": {""Silver - Metal"": 10}}",D:\Projects\10- E-COMMERCE WEBSITE\zozi\Working_API\zozi_ai_image_service\image\image_15.jpeg,SP_001,draft
97fd073d-7c22-4208-bc40-275308ecc91c,ZOZI-20260708-P-7D0F,2026-07-08T19:13:28.459834,The image shows a,Apparel,T-shirt,4.99,10,new,Black Soft Casual T-Shirt - Stylish & Comfortable,"Discover the perfect blend of style and comfort with our black soft casual t-shirt. Perfect for any day, this t-shirt is made from premium soft fabric that ensures a comfy wear every time you put it on.

✅ Point 1: Available in classic black color
✅ Point 2: Made from ultra-soft material for ultimate comfort
✅ Point 3: Casual style suitable for everyday wear",قميص بيже ناعم وكاجوال - مريح وعصري,"اكتشف التوازن المثالي بين الأناقة والراحة مع قميص الكاجوال الناعم ب لون أسود. مناسب للوهلة الأولى، يتم صنع هذا القميص من أقمشة ناعمة عالية الجودة تضمن راحة مستمرة في كل مرة ترتدي فيها.

✅ نقطة ١: متوفر باللون الأسود الكلاسيكي
✅ نقطة ٢: مصنوع من خيوط ناعمة للغاية للفائدة العالية في الراحة
✅ نقطة ٣: طراز كاجوال مناسب للارتداء اليومي","[""✅ Available in classic black color"", ""✅ Made from ultra-soft material for ultimate comfort"", ""✅ Casual style suitable for everyday wear""]","[""✅ متوفر باللون الأسود الكلاسيكي"", ""✅ مصنوع من خيوط ناعمة للغاية للفائدة العالية في الراحة"", ""✅ طراز كاجوال مناسب للارتداء اليومي""]",Black Soft Casual T-Shirt - Stylish & Comfortable,Experience ultimate comfort and style with our black soft casual t-shirt. Shop now for only 4.99 OMR.,قميص بيже ناعم وكاجوال,اكتشف الراحة العالية والأناقة مع قميص الكاجوال الناعم ب لون أسود. شراء الان مقابل 4.99 عماني.,"{""color"": [""black"", ""others""], ""material"": [""soft fabric""], ""model"": ""casual t-shirt""}",D:\Projects\10- E-COMMERCE WEBSITE\zozi\Working_API\zozi_ai_image_service\image\image_25.jpg,SP_001,draft
bf182a91-0ebc-4dc0-a9cc-b5f67ab69146,ZOZI-20260708-P-AD8B,2026-07-08T19:23:39.768604,The image shows a,Apparel,T-Shirts,4.99,60,new,Men's & Women's Short-Sleeved T-Shirt - 4.99 OMR,"Elevate your wardrobe with these versatile and stylish short-sleeved t-shirts available in multiple colors! 🍃✨

✅ Color Options: Black, Blue, Green, Yellow
✅ Model: Short-Sleeved 
✅ Perfect for casual wear or layering under jackets. 
✅ Soft & Comfortable Fabric for all-day wear. 

Upgrade your casual attire today with our durable and fashionable t-shirts! 🛍️",قمصان قصيرة الأكمام للرجال والنساء - 4.99 OMR,"عزز ملابسك اليوم بقمصان قصيرة الأكمام المتنوعة والمثيرة للاهتمام المتاحة في العديد من الألوان! 🍃✨

✅ خيارات الألوان: أسود، أزرق، أخضر، صفراء
✅ نموذج: قصيرة الأكمام 
✅ مثالية للملابس الشتوية أو الطبقات تحت البلوزات. 
✅ من القماش الناعم والمريح لليوم بأكمله.

قم اليوم بتحديث اطلالتك مع قمصاننا المتينة والأنيقة! 🛍️","[""✅ Color Options: Black, Blue, Green, Yellow"", ""✅ Model: Short-Sleeved"", ""✅ Perfect for casual wear or layering under jackets.""]","[""✅ خيارات الألوان: أسود، أزرق، أخضر، صفراء"", ""✅ نموذج: قصيرة الأكمام"", ""✅ مثالية للملابس الشتوية أو الطبقات تحت البلوزات.""]","Short-Sleeved T-Shirt - Multiple Colors, 4.99 OMR | E-commerce Store",Shop for our stylish and versatile short-sleeved t-shirts in various colors today! Perfect for casual wear or layering under blazers.,قمصان قصيرة الأكمام - العديد من الألوان، 4.99 OMR | متجر التجزئة,اشتري الآن قمصاناً قصيرة الأكمام المثيرة والمتعددة الإستخدامات بألوان متنوعة! مثالية للملابس الشتوية أو الطبقات تحت البلوزات.,"{""color"": [""black"", ""Blue"", ""Green"", ""Yellow"", ""Black""], ""model"": [""short-sleeved""], ""variant_stock"": {""black - short-sleeved"": 10, ""Blue - short-sleeved"": 10, ""Green - short-sleeved"": 10, ""Yellow - short-sleeved"": 20, ""Black - short-sleeved"": 10}}",D:\Projects\10- E-COMMERCE WEBSITE\zozi\Working_API\zozi_ai_image_service\image\image_25.jpg,SP_001,draft
22962cd2-ba2f-4466-a3fb-dacddf7d0813,ZOZI-20260708-P-CE06,2026-07-08T19:59:24.357162,olive oil bottle,Food and Beverage,Olive Oil,3.6,50,new,Green Olive Oil Bottle - Pure & Healthy Choice,"Discover our premium olive oil in a green bottle! Perfect for cooking, drizzling over salads or simply enjoying the rich taste. ✅ High-quality extra virgin olive oil; ✅ 450ml volume ensures lasting use; ✅ Suitable for both home and professional kitchens.",علبتة زيت الزيتون الخضراء - الخيار الصحي والطبيعي,اكتشف زيت الزيتون الأصلي في علبة خضراء! مثالي للاستخدام في الطهي، أو رش الحمص، أو حتى الاستمتاع بنكهته الغنية. ✅ زيت أولي حقيقى وعذب (أكوارا فايبرن); ✅ حجم 450مل يضمن الاستخدام المستمر; ✅ مناسب للبيت والأعمال التجارية أيضًا.,"[""✅ High-quality extra virgin olive oil"", ""✅ 450ml volume for lasting use"", ""✅ Perfect for home and professional kitchens""]","[""✅ زيت أولي حقيقى وعذب (أكوارا فايبرن)"", ""✅ حجم 450مل يضمن الاستخدام المستمر"", ""✅ مثالي للبيت والأعمال التجارية أيضًا""]",Green Olive Oil Bottle - 450ml Extra Virgin Olive Oil | Pure & Healthy Choice,"Explore our green olive oil bottle, perfect for cooking and enjoying the rich taste of extra virgin olive oil. Shop now!",علبة زيت الزيتون الخضراء - 450مل زيت أولي عذب | الخيار الصحي والطبيعي,استكشف علقة زيت الزيتون الخضراء، مثالية للاستخدام في الطهي والاستمتاع بنكهته الغنية. شراء الآن!,"{""color"": [""green""], ""volume"": [""450ml""], ""weight"": [""450g""], ""variant_stock"": {""green - 450ml - 450g"": 50}}",D:\Projects\10- E-COMMERCE WEBSITE\zozi\Working_API\zozi_ai_image_service\image\image_26.jpg,SP_001,draft
8d391125-126d-427a-bc7b-5c6fb93dca40,ZOZI-20260708-P-6B69,2026-07-08T20:09:13.069617,stainless steel refrigerator,Kitchen Appliances,Refrigerators,30.0,5,new,Stainless Steel Refrigerator - 15000L Capacity | 30.0 OMR,"Elevate your kitchen with our stunning stainless steel refrigerator in silver and purple. Key features:
✅ Sleek, modern design
✅ Durable stainless steel construction
✅ 15,000L capacity to keep all your food fresh
Upgrade your appliance collection today!",ثلاجة فولاذية - حجم ١٥٠٠٠ لتر | ٣٠.٠ أورو,"اكتشف ثلاجتك المذهلة بالفولاذ المقاوم للصدأ في اللونين الفضي والأزرق. ميزات رئيسية:
✅ تصميم حديث وعصري
✅ بناء متين من الفولاذ المقاوم للصدأ
✅ حجم خزان ١٥,٠٠٠ لتر لتبريد كل أطعمةك
تحديث مجموعة أدواتك اليوم!","[""✅ Sleek, modern design"", ""✅ Durable stainless steel construction"", ""✅ 15,000L capacity to keep all your food fresh""]","[""✅ تصميم حديث وعصري"", ""✅ بناء متين من الفولاذ المقاوم للصدأ"", ""✅ حجم خزان ١٥,٠٠٠ لتر لتبريد كل أطعمةك""]",Stainless Steel Refrigerator - 15000L Capacity | 30.0 OMR,"Discover our stylish stainless steel refrigerator in silver and purple. Get yours now for only 30.0 OMR with a 15,000L capacity.",ثلاجة فولاذية - حجم ١٥٠٠٠ لتر | ٣٠.٠ أورو,"اكتشف ثلاجتك الفولاذية المميزة في اللونين الفضي والأزرق. احصل عليها اليوم بسعر ٣٠.٠ أورو مع حجم خزان ١٥,٠٠٠ لتر.","{""color"": [""silver, purple""], ""material"": ""stainless steel"", ""capacity"": [""15000L""]}",D:\Projects\10- E-COMMERCE WEBSITE\zozi\Working_API\zozi_ai_image_service\image\image_20.jpg,SP_001,draft
